[2026-01-04 06:11:18] unknown | unknown | ls
[2026-01-04 06:11:21] unknown | unknown | pwd
[2026-01-04 06:11:32] unknown | unknown | mkdir
[2026-01-04 06:11:38] unknown | unknown | exit
[2026-01-04 06:15:41] 127.0.0.1 | test | مس
[2026-01-04 06:15:44] 127.0.0.1 | test | ls
[2026-01-04 06:15:46] 127.0.0.1 | test | pwd
[2026-01-04 06:18:53] 192.168.56.108 | test | ls
[2026-01-04 06:18:55] 192.168.56.108 | test | pwd
[2026-01-04 06:18:59] 192.168.56.108 | test | whoami
[2026-01-04 06:19:14] 192.168.56.108 | test | exit
[2026-01-04 11:42:02] 127.0.0.1 | test | ls
[2026-01-04 11:42:06] 127.0.0.1 | test | pwd
[2026-01-04 12:07:39] 127.0.0.1 | test | exit
